epoch,train_acc,test_acc
1,98.48833333333333,98.58
2,99.02333333333333,98.76
3,99.06166666666667,98.74
4,99.305,98.87
5,99.50166666666667,98.74
6,99.63333333333334,98.92
7,99.675,99.02
8,99.79166666666667,99.03
9,99.53333333333333,98.83
10,99.84333333333333,98.97
11,99.90833333333333,99.14
12,99.86333333333333,98.95
13,99.705,98.77
14,99.805,99.04
15,99.90666666666667,99.05
16,99.95333333333333,99.06
17,99.915,99.11
18,99.965,99.16
19,99.805,99.01
20,99.84833333333333,99.12
21,99.96833333333333,99.05
22,99.90166666666667,99.02
23,99.90666666666667,99.01
24,99.94333333333333,98.95
25,99.96166666666667,99.07
26,99.96333333333334,99.16
27,99.92666666666666,99.02
28,99.96833333333333,99.08
29,99.94666666666667,99.15
30,99.87666666666667,98.97
31,99.97833333333334,99.03
32,99.89166666666667,99.08
33,99.935,98.97
34,99.865,99.04
35,99.93166666666667,99.02
36,99.96166666666667,99.08
37,99.92666666666666,99.03
38,99.97166666666666,99.14
39,99.96333333333334,99.09
40,99.97333333333333,99.18
41,99.8,99.02
42,99.90666666666667,99.09
43,99.95,99.09
44,99.95,99.02
45,99.94333333333333,99.04
46,99.95666666666666,98.99
47,99.995,99.19
48,99.96333333333334,99.06
49,99.87333333333333,99.08
50,99.91666666666667,99.09
51,99.88166666666666,99.06
52,99.97333333333333,99.2
53,99.835,99.06
54,99.94333333333333,99.08
55,99.99166666666666,99.29
56,99.95,99.11
57,99.96166666666667,99.12
58,99.98166666666667,99.15
59,99.97333333333333,99.2
60,99.95666666666666,99.08
61,99.99,99.11
62,99.89,98.99
63,99.96333333333334,99.29
64,99.99,99.25
65,99.865,99.11
66,99.86333333333333,98.87
67,99.97833333333334,99.09
68,99.93666666666667,99.05
69,99.965,99.05
70,99.92333333333333,99.1
71,99.965,99.27
72,99.98833333333333,99.23
73,99.97833333333334,99.15
74,99.95666666666666,99.18
75,99.865,99.07
76,99.98666666666666,99.24
77,99.965,99.08
78,99.99333333333334,99.13
79,99.97666666666667,99.01
80,99.92333333333333,98.94
81,99.95833333333333,99.08
82,99.985,99.12
83,99.95333333333333,99.11
84,99.98,99.15
85,99.96166666666667,99.09
86,99.97833333333334,99.15
87,99.98666666666666,99.11
88,99.97833333333334,99.05
89,99.96333333333334,99.25
90,99.995,99.29
91,99.96833333333333,99.13
92,99.95,99.05
93,99.97666666666667,99.07
94,99.96166666666667,99.12
95,99.89166666666667,99.09
96,99.97,99.13
97,99.985,99.07
98,99.96166666666667,99.21
99,99.97166666666666,99.12
100,99.98666666666666,99.17
